iter	Passed	Remaining
314	680	1479
315	681	1475
316	683	1472
317	685	1469
318	686	1465
319	688	1462
320	689	1458
321	691	1455
322	692	1451
323	693	1447
324	696	1446
325	697	1443
326	699	1440
327	701	1436
328	702	1432
329	704	1429
330	705	1426
331	707	1424
332	709	1420
333	711	1418
334	713	1415
335	714	1412
336	716	1409
337	718	1406
338	719	1403
339	721	1401
340	723	1398
341	724	1394
342	727	1393
343	728	1390
344	730	1386
345	732	1384
346	733	1381
347	735	1378
348	737	1375
349	739	1374
350	741	1371
351	743	1369
352	745	1366
353	747	1363
354	748	1360
355	750	1357
356	752	1354
357	755	1354
358	757	1351
359	758	1348
360	760	1346
361	762	1343
362	764	1340
363	765	1337
364	766	1333
365	768	1331
366	769	1328
367	771	1325
368	773	1322
369	775	1320
370	777	1318
371	779	1315
372	781	1312
373	783	1310
374	784	1308
375	786	1305
376	788	1303
377	790	1300
378	791	1297
379	793	1294
380	795	1291
381	796	1289
382	798	1287
383	800	1284
384	802	1281
385	804	1279
386	805	1276
387	807	1274
388	809	1271
389	811	1269
390	813	1266
391	814	1264
392	817	1262
393	818	1259
394	820	1256
395	822	1254
396	823	1251
397	825	1249
398	827	1247
399	829	1244
400	831	1241
401	832	1238
402	834	1236
403	836	1233
404	837	1231
405	839	1228
406	841	1226
407	843	1223
408	845	1221
409	847	1219
410	849	1217
411	851	1214
412	852	1211
413	854	1208
414	855	1206
415	857	1203
416	859	1201
417	860	1198
418	862	1195
419	864	1193
420	865	1190
421	867	1188
422	869	1185
423	871	1183
424	872	1180
425	875	1179
426	876	1176
427	878	1173
428	879	1170
429	880	1167
430	882	1164
431	884	1162
432	885	1159
433	887	1157
434	889	1154
435	890	1152
436	893	1151
437	895	1148
438	896	1146
439	899	1144
440	900	1141
441	902	1139
442	904	1136
443	906	1135
444	908	1132
445	910	1130
446	912	1128
447	913	1125
448	915	1123
449	917	1120
450	919	1118
451	920	1116
452	922	1113
453	924	1111
454	926	1109
455	928	1107
456	929	1104
457	931	1101
458	932	1099
459	934	1096
460	936	1094
461	937	1091
462	939	1089
463	941	1087
464	943	1085
465	945	1083
466	947	1081
467	948	1078
468	950	1076
469	952	1073
470	953	1071
471	955	1068
472	956	1066
473	958	1063
474	960	1061
475	961	1058
476	963	1056
477	965	1054
478	966	1051
479	968	1049
480	970	1047
481	972	1045
482	974	1042
483	975	1040
484	977	1038
485	979	1035
486	980	1033
487	982	1030
488	984	1028
489	986	1026
490	987	1023
491	989	1022
492	992	1020
493	995	1019
494	997	1018
495	1001	1017
496	1004	1016
497	1009	1017
498	1011	1015
499	1018	1018
500	1021	1016
501	1023	1015
502	1026	1013
503	1028	1012
504	1031	1010
505	1032	1008
506	1035	1006
507	1037	1004
508	1039	1002
509	1040	999
510	1042	997
511	1044	995
512	1045	992
513	1047	990
514	1049	988
515	1052	986
516	1054	985
517	1057	983
518	1058	981
519	1060	978
520	1063	977
521	1065	976
522	1068	974
523	1070	972
524	1072	970
525	1075	968
526	1077	966
527	1079	965
528	1081	963
529	1083	961
530	1086	959
531	1087	956
532	1089	954
533	1091	952
534	1092	949
535	1094	947
536	1096	945
537	1098	943
538	1100	941
539	1102	939
540	1104	936
541	1106	934
542	1108	932
543	1109	930
544	1111	928
545	1113	925
546	1115	923
547	1117	921
548	1119	919
549	1121	917
550	1122	914
551	1124	912
552	1126	910
553	1128	908
554	1129	905
555	1131	903
556	1133	901
557	1135	899
558	1136	896
559	1138	894
560	1140	892
561	1142	890
562	1144	888
563	1145	885
564	1147	883
565	1149	881
566	1151	879
567	1153	877
568	1155	875
569	1157	873
570	1159	870
571	1160	868
572	1162	866
573	1164	864
574	1166	862
575	1168	860
576	1170	857
577	1171	855
578	1173	853
579	1175	851
580	1177	849
581	1179	846
582	1181	844
583	1183	842
584	1184	840
585	1186	838
586	1188	836
587	1190	834
588	1192	831
589	1193	829
590	1195	827
591	1197	825
592	1200	823
593	1202	821
594	1203	819
595	1205	817
596	1207	815
597	1209	813
598	1211	811
599	1213	808
600	1215	806
601	1216	804
602	1218	802
603	1220	800
604	1222	798
605	1224	796
606	1226	794
607	1228	791
608	1230	790
609	1232	788
610	1234	786
611	1236	784
612	1238	781
613	1240	779
614	1242	777
615	1244	775
616	1246	773
617	1248	771
618	1250	769
619	1252	767
620	1254	765
621	1256	763
622	1258	761
623	1260	759
624	1262	757
625	1263	755
626	1265	753
627	1268	751
628	1269	749
629	1271	746
630	1273	744
631	1275	742
632	1276	740
633	1278	738
634	1281	736
635	1283	734
636	1285	732
637	1287	730
638	1288	728
639	1290	726
640	1292	724
641	1294	721
642	1296	720
643	1298	718
644	1300	715
645	1302	713
646	1304	711
647	1306	709
648	1308	707
649	1310	705
650	1311	703
651	1313	701
652	1315	699
653	1317	696
654	1319	694
655	1321	692
656	1323	690
657	1325	688
658	1326	686
659	1328	684
660	1330	682
661	1332	680
662	1334	678
663	1336	676
664	1338	674
665	1339	671
666	1341	669
667	1344	668
668	1346	666
669	1347	663
670	1349	661
671	1351	659
672	1353	657
673	1355	655
674	1357	653
675	1359	651
676	1360	649
677	1362	647
678	1364	645
679	1366	643
680	1368	641
681	1370	639
682	1372	636
683	1374	634
684	1375	632
685	1377	630
686	1379	628
687	1381	626
688	1383	624
689	1384	622
690	1386	620
691	1388	618
692	1390	615
693	1392	613
694	1393	611
695	1396	609
696	1397	607
697	1399	605
698	1401	603
699	1403	601
700	1404	599
701	1406	597
702	1408	595
703	1410	592
704	1411	590
705	1414	588
706	1416	586
707	1417	584
708	1419	582
709	1421	580
710	1423	578
711	1425	576
712	1427	574
713	1428	572
714	1430	570
715	1432	568
716	1434	566
717	1435	563
718	1437	561
719	1439	559
720	1440	557
721	1442	555
722	1444	553
723	1446	551
724	1447	549
725	1449	547
726	1451	544
727	1453	543
728	1455	541
729	1457	538
730	1458	536
731	1460	534
732	1462	532
733	1463	530
734	1465	528
735	1467	526
736	1469	524
737	1470	522
738	1472	520
739	1474	517
740	1476	515
741	1477	513
742	1479	511
743	1481	509
744	1483	507
745	1485	505
746	1487	503
747	1488	501
748	1490	499
749	1492	497
750	1493	495
751	1495	493
752	1497	491
753	1499	489
754	1501	487
755	1503	485
756	1505	483
757	1507	481
758	1508	479
759	1510	477
760	1512	475
761	1514	473
762	1516	470
763	1517	468
764	1520	466
765	1521	464
766	1523	462
767	1525	460
768	1527	458
769	1529	456
770	1531	454
771	1532	452
772	1534	450
773	1536	448
774	1538	446
775	1539	444
776	1541	442
777	1543	440
778	1545	438
779	1547	436
780	1548	434
781	1550	432
782	1552	430
783	1554	428
784	1555	426
785	1557	424
786	1559	422
787	1561	420
788	1563	418
789	1565	416
790	1567	414
791	1568	412
792	1570	410
793	1572	407
794	1574	405
795	1576	403
796	1578	401
797	1580	400
798	1582	398
799	1584	396
800	1586	394
801	1588	392
802	1589	390
803	1591	388
804	1593	386
805	1595	384
806	1597	382
807	1600	380
808	1601	378
809	1603	376
810	1605	374
811	1607	372
812	1609	370
813	1610	368
814	1612	366
815	1614	364
816	1616	362
817	1618	360
818	1620	358
819	1621	356
820	1623	353
821	1625	351
822	1627	349
823	1629	347
824	1630	345
825	1632	343
826	1634	341
827	1635	339
828	1637	337
829	1639	335
830	1641	333
831	1642	331
832	1644	329
833	1646	327
834	1648	325
835	1649	323
836	1651	321
837	1653	319
838	1655	317
839	1657	315
840	1659	313
841	1661	311
842	1663	309
843	1665	307
844	1667	305
845	1669	303
846	1671	301
847	1673	299
848	1675	298
849	1677	295
850	1678	293
851	1680	291
852	1682	289
853	1684	287
854	1685	285
855	1687	283
856	1689	281
857	1691	279
858	1693	277
859	1695	275
860	1696	273
861	1699	272
862	1700	270
863	1702	267
864	1704	266
865	1706	264
866	1708	262
867	1709	260
868	1711	257
869	1712	255
870	1714	253
871	1716	251
872	1718	249
873	1719	247
874	1721	245
875	1723	243
876	1725	242
877	1727	240
878	1729	238
879	1731	236
880	1732	234
881	1734	232
882	1736	230
883	1738	228
884	1741	226
885	1742	224
886	1744	222
887	1746	220
888	1749	218
889	1750	216
890	1753	214
891	1755	212
892	1757	210
893	1758	208
894	1761	206
895	1763	204
896	1765	202
897	1766	200
898	1768	198
899	1770	196
900	1772	194
901	1773	192
902	1775	190
903	1777	188
904	1779	186
905	1781	184
906	1782	182
907	1784	180
908	1786	178
909	1788	176
910	1790	174
911	1792	172
912	1794	170
913	1796	168
914	1797	167
915	1799	165
916	1801	163
917	1802	161
918	1804	159
919	1806	157
920	1809	155
921	1810	153
922	1812	151
923	1814	149
924	1816	147
925	1818	145
926	1819	143
927	1821	141
928	1823	139
929	1825	137
930	1827	135
931	1828	133
932	1830	131
933	1832	129
934	1833	127
935	1835	125
936	1837	123
937	1839	121
938	1840	119
939	1842	117
940	1844	115
941	1846	113
942	1848	111
943	1849	109
944	1851	107
945	1853	105
946	1855	103
947	1857	101
948	1859	99
949	1861	97
950	1863	96
951	1865	94
952	1867	92
953	1868	90
954	1870	88
955	1873	86
956	1874	84
957	1876	82
958	1878	80
959	1880	78
960	1882	76
961	1883	74
962	1885	72
963	1887	70
964	1889	68
965	1890	66
966	1892	64
967	1894	62
968	1896	60
969	1897	58
970	1899	56
971	1901	54
972	1903	52
973	1905	50
974	1906	48
975	1909	46
976	1910	44
977	1912	43
978	1914	41
979	1915	39
980	1917	37
981	1919	35
982	1921	33
983	1922	31
984	1924	29
985	1926	27
986	1929	25
987	1930	23
988	1932	21
989	1934	19
990	1935	17
991	1938	15
992	1940	13
993	1941	11
994	1943	9
995	1945	7
996	1947	5
997	1948	3
998	1950	1
999	1952	0
